Date,Store,Sales
912,2020-01-01,Washington DC,31
913,2020-01-02,Washington DC,40
914,2020-01-03,Washington DC,37
915,2020-01-04,Washington DC,14
916,2020-01-05,Washington DC,24
917,2020-01-06,Washington DC,25
918,2020-01-07,Washington DC,71
919,2020-01-08,Washington DC,86
920,2020-01-09,Washington DC,8
921,2020-01-10,Washington DC,9
922,2020-01-11,Washington DC,97
923,2020-01-12,Washington DC,49
924,2020-01-13,Washington DC,43
925,2020-01-14,Washington DC,60
926,2020-01-15,Washington DC,97
927,2020-01-16,Washington DC,20
928,2020-01-17,Washington DC,14
929,2020-01-18,Washington DC,42
930,2020-01-19,Washington DC,69
931,2020-01-20,Washington DC,74
932,2020-01-21,Washington DC,60
933,2020-01-22,Washington DC,50
934,2020-01-23,Washington DC,96
935,2020-01-24,Washington DC,64
936,2020-01-25,Washington DC,1
937,2020-01-26,Washington DC,70
938,2020-01-27,Washington DC,31
939,2020-01-28,Washington DC,91
940,2020-01-29,Washington DC,48
941,2020-01-30,Washington DC,68
942,2020-01-31,Washington DC,42
943,2020-02-01,Washington DC,48
944,2020-02-02,Washington DC,99
945,2020-02-03,Washington DC,60
946,2020-02-04,Washington DC,32
947,2020-02-05,Washington DC,69
948,2020-02-06,Washington DC,19
949,2020-02-07,Washington DC,80
950,2020-02-08,Washington DC,65
951,2020-02-09,Washington DC,37
952,2020-02-10,Washington DC,26
953,2020-02-11,Washington DC,65
954,2020-02-12,Washington DC,30
955,2020-02-13,Washington DC,11
956,2020-02-14,Washington DC,83
957,2020-02-15,Washington DC,65
958,2020-02-16,Washington DC,66
959,2020-02-17,Washington DC,19
960,2020-02-18,Washington DC,53
961,2020-02-19,Washington DC,23
962,2020-02-20,Washington DC,67
963,2020-02-21,Washington DC,46
964,2020-02-22,Washington DC,22
965,2020-02-23,Washington DC,27
966,2020-02-24,Washington DC,98
967,2020-02-25,Washington DC,57
968,2020-02-26,Washington DC,76
969,2020-02-27,Washington DC,60
970,2020-02-28,Washington DC,29
971,2020-02-29,Washington DC,17
972,2020-03-01,Washington DC,39
973,2020-03-02,Washington DC,10
974,2020-03-03,Washington DC,94
975,2020-03-04,Washington DC,97
976,2020-03-05,Washington DC,95
977,2020-03-06,Washington DC,88
978,2020-03-07,Washington DC,94
979,2020-03-08,Washington DC,66
980,2020-03-09,Washington DC,41
981,2020-03-10,Washington DC,71
982,2020-03-11,Washington DC,80
983,2020-03-12,Washington DC,75
984,2020-03-13,Washington DC,49
985,2020-03-14,Washington DC,78
986,2020-03-15,Washington DC,30
987,2020-03-16,Washington DC,34
988,2020-03-17,Washington DC,36
989,2020-03-18,Washington DC,8
990,2020-03-19,Washington DC,90
991,2020-03-20,Washington DC,35
992,2020-03-21,Washington DC,26
993,2020-03-22,Washington DC,96
994,2020-03-23,Washington DC,96
995,2020-03-24,Washington DC,52
996,2020-03-25,Washington DC,1
997,2020-03-26,Washington DC,28
998,2020-03-27,Washington DC,74
999,2020-03-28,Washington DC,45
1000,2020-03-29,Washington DC,11
1001,2020-03-30,Washington DC,42
1002,2020-03-31,Washington DC,50
1003,2020-04-01,Washington DC,54
1004,2020-04-02,Washington DC,67
1005,2020-04-03,Washington DC,60
1006,2020-04-04,Washington DC,68
1007,2020-04-05,Washington DC,71
1008,2020-04-06,Washington DC,89
1009,2020-04-07,Washington DC,51
1010,2020-04-08,Washington DC,9
1011,2020-04-09,Washington DC,20
1012,2020-04-10,Washington DC,42
1013,2020-04-11,Washington DC,31
1014,2020-04-12,Washington DC,51
1015,2020-04-13,Washington DC,21
1016,2020-04-14,Washington DC,2
1017,2020-04-15,Washington DC,62
1018,2020-04-16,Washington DC,20
1019,2020-04-17,Washington DC,6
1020,2020-04-18,Washington DC,15
1021,2020-04-19,Washington DC,37
1022,2020-04-20,Washington DC,74
1023,2020-04-21,Washington DC,44
1024,2020-04-22,Washington DC,70
1025,2020-04-23,Washington DC,72
1026,2020-04-24,Washington DC,82
1027,2020-04-25,Washington DC,33
1028,2020-04-26,Washington DC,100
1029,2020-04-27,Washington DC,31
1030,2020-04-28,Washington DC,52
1031,2020-04-29,Washington DC,56
1032,2020-04-30,Washington DC,87
1033,2020-05-01,Washington DC,47
1034,2020-05-02,Washington DC,53
1035,2020-05-03,Washington DC,36
1036,2020-05-04,Washington DC,45
1037,2020-05-05,Washington DC,55
1038,2020-05-06,Washington DC,16
1039,2020-05-07,Washington DC,62
1040,2020-05-08,Washington DC,42
1041,2020-05-09,Washington DC,84
1042,2020-05-10,Washington DC,30
1043,2020-05-11,Washington DC,96
1044,2020-05-12,Washington DC,78
1045,2020-05-13,Washington DC,92
1046,2020-05-14,Washington DC,92
1047,2020-05-15,Washington DC,77
1048,2020-05-16,Washington DC,48
1049,2020-05-17,Washington DC,44
1050,2020-05-18,Washington DC,75
1051,2020-05-19,Washington DC,83
1052,2020-05-20,Washington DC,13
