Date,Store,Sales
0,2020-01-01,New York City,10
1,2020-01-02,New York City,20
2,2020-01-03,New York City,23
3,2020-01-04,New York City,2
4,2020-01-05,New York City,79
5,2020-01-06,New York City,81
6,2020-01-07,New York City,4
7,2020-01-08,New York City,17
8,2020-01-09,New York City,28
9,2020-01-10,New York City,70
10,2020-01-11,New York City,55
11,2020-01-12,New York City,33
12,2020-01-13,New York City,28
13,2020-01-14,New York City,7
14,2020-01-15,New York City,47
15,2020-01-16,New York City,79
16,2020-01-17,New York City,6
17,2020-01-18,New York City,76
18,2020-01-19,New York City,21
19,2020-01-20,New York City,31
20,2020-01-21,New York City,31
21,2020-01-22,New York City,64
22,2020-01-23,New York City,73
23,2020-01-24,New York City,63
24,2020-01-25,New York City,21
25,2020-01-26,New York City,69
26,2020-01-27,New York City,74
27,2020-01-28,New York City,45
28,2020-01-29,New York City,51
29,2020-01-30,New York City,7
30,2020-01-31,New York City,3
31,2020-02-01,New York City,68
32,2020-02-02,New York City,32
33,2020-02-03,New York City,99
34,2020-02-04,New York City,98
35,2020-02-05,New York City,19
36,2020-02-06,New York City,66
37,2020-02-07,New York City,8
38,2020-02-08,New York City,58
39,2020-02-09,New York City,84
40,2020-02-10,New York City,85
41,2020-02-11,New York City,60
42,2020-02-12,New York City,20
43,2020-02-13,New York City,12
44,2020-02-14,New York City,68
45,2020-02-15,New York City,71
46,2020-02-16,New York City,51
47,2020-02-17,New York City,7
48,2020-02-18,New York City,48
49,2020-02-19,New York City,73
50,2020-02-20,New York City,99
51,2020-02-21,New York City,84
52,2020-02-22,New York City,55
53,2020-02-23,New York City,27
54,2020-02-24,New York City,100
55,2020-02-25,New York City,98
56,2020-02-26,New York City,54
57,2020-02-27,New York City,91
58,2020-02-28,New York City,22
59,2020-02-29,New York City,4
60,2020-03-01,New York City,81
61,2020-03-02,New York City,3
62,2020-03-03,New York City,39
63,2020-03-04,New York City,80
64,2020-03-05,New York City,8
65,2020-03-06,New York City,52
66,2020-03-07,New York City,50
67,2020-03-08,New York City,52
68,2020-03-09,New York City,39
69,2020-03-10,New York City,49
70,2020-03-11,New York City,1
71,2020-03-12,New York City,100
72,2020-03-13,New York City,63
73,2020-03-14,New York City,30
74,2020-03-15,New York City,96
75,2020-03-16,New York City,38
76,2020-03-17,New York City,52
77,2020-03-18,New York City,89
78,2020-03-19,New York City,82
79,2020-03-20,New York City,68
80,2020-03-21,New York City,44
81,2020-03-22,New York City,43
82,2020-03-23,New York City,82
83,2020-03-24,New York City,91
84,2020-03-25,New York City,98
85,2020-03-26,New York City,40
86,2020-03-27,New York City,20
87,2020-03-28,New York City,51
88,2020-03-29,New York City,11
89,2020-03-30,New York City,96
90,2020-03-31,New York City,86
91,2020-04-01,New York City,1
92,2020-04-02,New York City,39
93,2020-04-03,New York City,15
94,2020-04-04,New York City,11
95,2020-04-05,New York City,60
96,2020-04-06,New York City,56
97,2020-04-07,New York City,73
98,2020-04-08,New York City,43
99,2020-04-09,New York City,49
100,2020-04-10,New York City,56
101,2020-04-11,New York City,87
102,2020-04-12,New York City,60
103,2020-04-13,New York City,96
104,2020-04-14,New York City,7
105,2020-04-15,New York City,17
106,2020-04-16,New York City,53
107,2020-04-17,New York City,37
108,2020-04-18,New York City,86
109,2020-04-19,New York City,54
110,2020-04-20,New York City,81
111,2020-04-21,New York City,22
112,2020-04-22,New York City,67
113,2020-04-23,New York City,64
114,2020-04-24,New York City,74
115,2020-04-25,New York City,16
116,2020-04-26,New York City,34
117,2020-04-27,New York City,54
118,2020-04-28,New York City,30
119,2020-04-29,New York City,60
120,2020-04-30,New York City,60
121,2020-05-01,New York City,47
122,2020-05-02,New York City,22
123,2020-05-03,New York City,93
124,2020-05-04,New York City,88
125,2020-05-05,New York City,56
126,2020-05-06,New York City,89
127,2020-05-07,New York City,76
128,2020-05-08,New York City,19
129,2020-05-09,New York City,12
130,2020-05-10,New York City,23
131,2020-05-11,New York City,31
132,2020-05-12,New York City,94
133,2020-05-13,New York City,61
134,2020-05-14,New York City,78
135,2020-05-15,New York City,35
136,2020-05-16,New York City,15
137,2020-05-17,New York City,87
138,2020-05-18,New York City,76
139,2020-05-19,New York City,54
140,2020-05-20,New York City,3
141,2020-05-21,New York City,87
142,2020-05-22,New York City,41
143,2020-05-23,New York City,69
144,2020-05-24,New York City,36
145,2020-05-25,New York City,5
146,2020-05-26,New York City,6
147,2020-05-27,New York City,50
148,2020-05-28,New York City,52
149,2020-05-29,New York City,45
150,2020-05-30,New York City,17
151,2020-05-31,New York City,80
152,2020-06-01,New York City,56
153,2020-06-02,New York City,4
154,2020-06-03,New York City,7
155,2020-06-04,New York City,27
156,2020-06-05,New York City,72
157,2020-06-06,New York City,93
158,2020-06-07,New York City,86
159,2020-06-08,New York City,2
160,2020-06-09,New York City,94
161,2020-06-10,New York City,61
162,2020-06-11,New York City,71
163,2020-06-12,New York City,29
164,2020-06-13,New York City,24
165,2020-06-14,New York City,66
166,2020-06-15,New York City,32
167,2020-06-16,New York City,35
168,2020-06-17,New York City,54
169,2020-06-18,New York City,31
170,2020-06-19,New York City,85
171,2020-06-20,New York City,98
172,2020-06-21,New York City,71
173,2020-06-22,New York City,84
174,2020-06-23,New York City,67
175,2020-06-24,New York City,75
176,2020-06-25,New York City,53
177,2020-06-26,New York City,21
178,2020-06-27,New York City,5
179,2020-06-28,New York City,88
180,2020-06-29,New York City,46
181,2020-06-30,New York City,63
182,2020-07-01,New York City,15
183,2020-07-02,New York City,71
