Date,Store,Sales
1368,2020-01-01,Seattle,74
1369,2020-01-02,Seattle,1
1370,2020-01-03,Seattle,87
1371,2020-01-04,Seattle,13
1372,2020-01-05,Seattle,60
1373,2020-01-06,Seattle,92
1374,2020-01-07,Seattle,89
1375,2020-01-08,Seattle,51
1376,2020-01-09,Seattle,16
1377,2020-01-10,Seattle,18
1378,2020-01-11,Seattle,16
1379,2020-01-12,Seattle,96
1380,2020-01-13,Seattle,31
1381,2020-01-14,Seattle,44
1382,2020-01-15,Seattle,41
1383,2020-01-16,Seattle,38
1384,2020-01-17,Seattle,49
1385,2020-01-18,Seattle,68
1386,2020-01-19,Seattle,52
1387,2020-01-20,Seattle,85
1388,2020-01-21,Seattle,4
1389,2020-01-22,Seattle,20
1390,2020-01-23,Seattle,86
1391,2020-01-24,Seattle,72
1392,2020-01-25,Seattle,62
1393,2020-01-26,Seattle,39
1394,2020-01-27,Seattle,38
1395,2020-01-28,Seattle,88
1396,2020-01-29,Seattle,70
1397,2020-01-30,Seattle,37
1398,2020-01-31,Seattle,37
1399,2020-02-01,Seattle,40
1400,2020-02-02,Seattle,1
1401,2020-02-03,Seattle,55
1402,2020-02-04,Seattle,72
1403,2020-02-05,Seattle,93
1404,2020-02-06,Seattle,21
1405,2020-02-07,Seattle,3
1406,2020-02-08,Seattle,41
1407,2020-02-09,Seattle,29
1408,2020-02-10,Seattle,24
1409,2020-02-11,Seattle,36
1410,2020-02-12,Seattle,93
1411,2020-02-13,Seattle,83
1412,2020-02-14,Seattle,29
1413,2020-02-15,Seattle,91
1414,2020-02-16,Seattle,5
1415,2020-02-17,Seattle,85
1416,2020-02-18,Seattle,19
1417,2020-02-19,Seattle,72
1418,2020-02-20,Seattle,16
1419,2020-02-21,Seattle,41
1420,2020-02-22,Seattle,51
1421,2020-02-23,Seattle,30
1422,2020-02-24,Seattle,19
1423,2020-02-25,Seattle,32
1424,2020-02-26,Seattle,18
1425,2020-02-27,Seattle,65
1426,2020-02-28,Seattle,47
1427,2020-02-29,Seattle,26
1428,2020-03-01,Seattle,5
1429,2020-03-02,Seattle,51
1430,2020-03-03,Seattle,100
1431,2020-03-04,Seattle,29
1432,2020-03-05,Seattle,33
1433,2020-03-06,Seattle,34
1434,2020-03-07,Seattle,9
1435,2020-03-08,Seattle,95
1436,2020-03-09,Seattle,46
1437,2020-03-10,Seattle,68
1438,2020-03-11,Seattle,70
1439,2020-03-12,Seattle,64
1440,2020-03-13,Seattle,16
1441,2020-03-14,Seattle,57
1442,2020-03-15,Seattle,43
1443,2020-03-16,Seattle,17
1444,2020-03-17,Seattle,9
1445,2020-03-18,Seattle,16
1446,2020-03-19,Seattle,2
1447,2020-03-20,Seattle,2
1448,2020-03-21,Seattle,18
1449,2020-03-22,Seattle,19
1450,2020-03-23,Seattle,8
1451,2020-03-24,Seattle,36
1452,2020-03-25,Seattle,81
1453,2020-03-26,Seattle,3
1454,2020-03-27,Seattle,67
1455,2020-03-28,Seattle,25
1456,2020-03-29,Seattle,77
1457,2020-03-30,Seattle,21
1458,2020-03-31,Seattle,69
1459,2020-04-01,Seattle,23
1460,2020-04-02,Seattle,7
1461,2020-04-03,Seattle,54
1462,2020-04-04,Seattle,12
1463,2020-04-05,Seattle,36
1464,2020-04-06,Seattle,65
1465,2020-04-07,Seattle,6
1466,2020-04-08,Seattle,48
1467,2020-04-09,Seattle,3
1468,2020-04-10,Seattle,35
1469,2020-04-11,Seattle,85
1470,2020-04-12,Seattle,60
1471,2020-04-13,Seattle,88
1472,2020-04-14,Seattle,64
1473,2020-04-15,Seattle,99
1474,2020-04-16,Seattle,99
1475,2020-04-17,Seattle,30
1476,2020-04-18,Seattle,88
1477,2020-04-19,Seattle,72
1478,2020-04-20,Seattle,20
1479,2020-04-21,Seattle,37
1480,2020-04-22,Seattle,61
1481,2020-04-23,Seattle,13
1482,2020-04-24,Seattle,20
1483,2020-04-25,Seattle,29
1484,2020-04-26,Seattle,37
1485,2020-04-27,Seattle,1
1486,2020-04-28,Seattle,48
1487,2020-04-29,Seattle,49
1488,2020-04-30,Seattle,46
1489,2020-05-01,Seattle,33
1490,2020-05-02,Seattle,54
1491,2020-05-03,Seattle,62
1492,2020-05-04,Seattle,65
1493,2020-05-05,Seattle,66
