Date,Store,Sales
2021-03-01,New York City,12
2021-03-02,New York City,50
2021-03-03,New York City,67
2021-03-04,New York City,16
2021-03-05,New York City,77
2021-03-06,New York City,13
2021-03-07,New York City,64
2021-03-08,New York City,65
2021-03-09,New York City,63
2021-03-10,New York City,54
2021-03-11,New York City,9
2021-03-12,New York City,84
2021-03-13,New York City,77
2021-03-14,New York City,23
2021-03-15,New York City,37
2021-03-16,New York City,91
2021-03-17,New York City,55
2021-03-18,New York City,38
2021-03-19,New York City,3
2021-03-20,New York City,58
2021-03-21,New York City,23
2021-03-22,New York City,77
2021-03-23,New York City,41
2021-03-24,New York City,55
2021-03-25,New York City,43
2021-03-26,New York City,12
2021-03-27,New York City,34
2021-03-28,New York City,45
2021-03-29,New York City,98
2021-03-30,New York City,6
2021-03-31,New York City,86
