Date,Store,Sales
2021-03-01,San Francisco,83
2021-03-02,San Francisco,37
2021-03-03,San Francisco,44
2021-03-04,San Francisco,50
2021-03-05,San Francisco,73
2021-03-06,San Francisco,91
2021-03-07,San Francisco,55
2021-03-08,San Francisco,9
2021-03-09,San Francisco,98
2021-03-10,San Francisco,8
2021-03-11,San Francisco,64
2021-03-12,San Francisco,94
2021-03-13,San Francisco,90
2021-03-14,San Francisco,16
2021-03-15,San Francisco,63
2021-03-16,San Francisco,75
2021-03-17,San Francisco,54
2021-03-18,San Francisco,83
2021-03-19,San Francisco,3
2021-03-20,San Francisco,87
2021-03-21,San Francisco,67
2021-03-22,San Francisco,30
2021-03-23,San Francisco,26
2021-03-24,San Francisco,83
2021-03-25,San Francisco,49
2021-03-26,San Francisco,43
2021-03-27,San Francisco,55
2021-03-28,San Francisco,93
2021-03-29,San Francisco,25
2021-03-30,San Francisco,28
2021-03-31,San Francisco,21
