Date,Store,Sales
2021-03-01,Seattle,10
2021-03-02,Seattle,18
2021-03-03,Seattle,19
2021-03-04,Seattle,44
2021-03-05,Seattle,85
2021-03-06,Seattle,98
2021-03-07,Seattle,65
2021-03-08,Seattle,63
2021-03-09,Seattle,83
2021-03-10,Seattle,63
2021-03-11,Seattle,37
2021-03-12,Seattle,91
2021-03-13,Seattle,83
2021-03-14,Seattle,72
2021-03-15,Seattle,5
2021-03-16,Seattle,87
2021-03-17,Seattle,65
2021-03-18,Seattle,40
2021-03-19,Seattle,35
2021-03-20,Seattle,18
2021-03-21,Seattle,6
2021-03-22,Seattle,63
2021-03-23,Seattle,78
2021-03-24,Seattle,23
2021-03-25,Seattle,80
2021-03-26,Seattle,81
2021-03-27,Seattle,15
2021-03-28,Seattle,41
2021-03-29,Seattle,85
2021-03-30,Seattle,34
2021-03-31,Seattle,3
