Date,Store,Sales
2021-03-01,Washington DC,73
2021-03-02,Washington DC,77
2021-03-03,Washington DC,67
2021-03-04,Washington DC,99
2021-03-05,Washington DC,69
2021-03-06,Washington DC,10
2021-03-07,Washington DC,57
2021-03-08,Washington DC,97
2021-03-09,Washington DC,32
2021-03-10,Washington DC,86
2021-03-11,Washington DC,49
2021-03-12,Washington DC,22
2021-03-13,Washington DC,44
2021-03-14,Washington DC,91
2021-03-15,Washington DC,51
2021-03-16,Washington DC,27
2021-03-17,Washington DC,3
2021-03-18,Washington DC,97
2021-03-19,Washington DC,91
2021-03-20,Washington DC,24
2021-03-21,Washington DC,81
2021-03-22,Washington DC,60
2021-03-23,Washington DC,73
2021-03-24,Washington DC,5
2021-03-25,Washington DC,8
2021-03-26,Washington DC,62
2021-03-27,Washington DC,67
2021-03-28,Washington DC,36
2021-03-29,Washington DC,87
2021-03-30,Washington DC,52
2021-03-31,Washington DC,43
