Date,Store,Sales
2020-01-01,Seattle,74
2020-01-02,Seattle,1
2020-01-03,Seattle,87
2020-01-04,Seattle,13
2020-01-05,Seattle,60
2020-01-06,Seattle,92
2020-01-07,Seattle,89
2020-01-08,Seattle,51
2020-01-09,Seattle,16
2020-01-10,Seattle,18
2020-01-11,Seattle,16
2020-01-12,Seattle,96
2020-01-13,Seattle,31
2020-01-14,Seattle,44
2020-01-15,Seattle,41
2020-01-16,Seattle,38
2020-01-17,Seattle,49
2020-01-18,Seattle,68
2020-01-19,Seattle,52
2020-01-20,Seattle,85
2020-01-21,Seattle,4
2020-01-22,Seattle,20
2020-01-23,Seattle,86
2020-01-24,Seattle,72
2020-01-25,Seattle,62
2020-01-26,Seattle,39
2020-01-27,Seattle,38
2020-01-28,Seattle,88
2020-01-29,Seattle,70
2020-01-30,Seattle,37
2020-01-31,Seattle,37
2020-02-01,Seattle,40
2020-02-02,Seattle,1
2020-02-03,Seattle,55
2020-02-04,Seattle,72
2020-02-05,Seattle,93
2020-02-06,Seattle,21
2020-02-07,Seattle,3
2020-02-08,Seattle,41
2020-02-09,Seattle,29
2020-02-10,Seattle,24
2020-02-11,Seattle,36
2020-02-12,Seattle,93
2020-02-13,Seattle,83
2020-02-14,Seattle,29
2020-02-15,Seattle,91
2020-02-16,Seattle,5
2020-02-17,Seattle,85
2020-02-18,Seattle,19
2020-02-19,Seattle,72
2020-02-20,Seattle,16
2020-02-21,Seattle,41
2020-02-22,Seattle,51
2020-02-23,Seattle,30
2020-02-24,Seattle,19
2020-02-25,Seattle,32
2020-02-26,Seattle,18
2020-02-27,Seattle,65
2020-02-28,Seattle,47
2020-02-29,Seattle,26
2020-03-01,Seattle,5
2020-03-02,Seattle,51
2020-03-03,Seattle,100
2020-03-04,Seattle,29
2020-03-05,Seattle,33
2020-03-06,Seattle,34
2020-03-07,Seattle,9
2020-03-08,Seattle,95
2020-03-09,Seattle,46
2020-03-10,Seattle,68
2020-03-11,Seattle,70
2020-03-12,Seattle,64
2020-03-13,Seattle,16
2020-03-14,Seattle,57
2020-03-15,Seattle,43
2020-03-16,Seattle,17
2020-03-17,Seattle,9
2020-03-18,Seattle,16
2020-03-19,Seattle,2
2020-03-20,Seattle,2
2020-03-21,Seattle,18
2020-03-22,Seattle,19
2020-03-23,Seattle,8
2020-03-24,Seattle,36
2020-03-25,Seattle,81
2020-03-26,Seattle,3
2020-03-27,Seattle,67
2020-03-28,Seattle,25
2020-03-29,Seattle,77
2020-03-30,Seattle,21
2020-03-31,Seattle,69
2020-04-01,Seattle,23
2020-04-02,Seattle,7
2020-04-03,Seattle,54
2020-04-04,Seattle,12
2020-04-05,Seattle,36
2020-04-06,Seattle,65
2020-04-07,Seattle,6
2020-04-08,Seattle,48
2020-04-09,Seattle,3
2020-04-10,Seattle,35
2020-04-11,Seattle,85
2020-04-12,Seattle,60
2020-04-13,Seattle,88
2020-04-14,Seattle,64
2020-04-15,Seattle,99
2020-04-16,Seattle,99
2020-04-17,Seattle,30
2020-04-18,Seattle,88
2020-04-19,Seattle,72
2020-04-20,Seattle,20
2020-04-21,Seattle,37
2020-04-22,Seattle,61
2020-04-23,Seattle,13
2020-04-24,Seattle,20
2020-04-25,Seattle,29
2020-04-26,Seattle,37
2020-04-27,Seattle,1
2020-04-28,Seattle,48
2020-04-29,Seattle,49
2020-04-30,Seattle,46
2020-05-01,Seattle,33
2020-05-02,Seattle,54
2020-05-03,Seattle,62
2020-05-04,Seattle,65
2020-05-05,Seattle,66
2020-05-06,Seattle,21
2020-05-07,Seattle,71
2020-05-08,Seattle,83
2020-05-09,Seattle,35
2020-05-10,Seattle,70
2020-05-11,Seattle,5
2020-05-12,Seattle,39
2020-05-13,Seattle,51
2020-05-14,Seattle,63
2020-05-15,Seattle,8
2020-05-16,Seattle,69
2020-05-17,Seattle,1
2020-05-18,Seattle,99
2020-05-19,Seattle,72
2020-05-20,Seattle,27
2020-05-21,Seattle,65
2020-05-22,Seattle,14
2020-05-23,Seattle,44
2020-05-24,Seattle,3
2020-05-25,Seattle,34
2020-05-26,Seattle,76
2020-05-27,Seattle,94
2020-05-28,Seattle,95
2020-05-29,Seattle,99
2020-05-30,Seattle,92
2020-05-31,Seattle,45
2020-06-01,Seattle,33
2020-06-02,Seattle,67
2020-06-03,Seattle,77
2020-06-04,Seattle,61
2020-06-05,Seattle,57
2020-06-06,Seattle,100
2020-06-07,Seattle,4
2020-06-08,Seattle,64
2020-06-09,Seattle,77
2020-06-10,Seattle,33
2020-06-11,Seattle,83
2020-06-12,Seattle,77
2020-06-13,Seattle,87
2020-06-14,Seattle,39
2020-06-15,Seattle,34
2020-06-16,Seattle,69
2020-06-17,Seattle,74
2020-06-18,Seattle,32
2020-06-19,Seattle,23
2020-06-20,Seattle,36
2020-06-21,Seattle,46
2020-06-22,Seattle,1
2020-06-23,Seattle,62
