Date,Store,Sales
2020-01-01,Washington DC,31
2020-01-02,Washington DC,40
2020-01-03,Washington DC,37
2020-01-04,Washington DC,14
2020-01-05,Washington DC,24
2020-01-06,Washington DC,25
2020-01-07,Washington DC,71
2020-01-08,Washington DC,86
2020-01-09,Washington DC,8
2020-01-10,Washington DC,9
2020-01-11,Washington DC,97
2020-01-12,Washington DC,49
2020-01-13,Washington DC,43
2020-01-14,Washington DC,60
2020-01-15,Washington DC,97
2020-01-16,Washington DC,20
2020-01-17,Washington DC,14
2020-01-18,Washington DC,42
2020-01-19,Washington DC,69
2020-01-20,Washington DC,74
2020-01-21,Washington DC,60
2020-01-22,Washington DC,50
2020-01-23,Washington DC,96
2020-01-24,Washington DC,64
2020-01-25,Washington DC,1
2020-01-26,Washington DC,70
2020-01-27,Washington DC,31
2020-01-28,Washington DC,91
2020-01-29,Washington DC,48
2020-01-30,Washington DC,68
2020-01-31,Washington DC,42
2020-02-01,Washington DC,48
2020-02-02,Washington DC,99
2020-02-03,Washington DC,60
2020-02-04,Washington DC,32
2020-02-05,Washington DC,69
2020-02-06,Washington DC,19
2020-02-07,Washington DC,80
2020-02-08,Washington DC,65
2020-02-09,Washington DC,37
2020-02-10,Washington DC,26
2020-02-11,Washington DC,65
2020-02-12,Washington DC,30
2020-02-13,Washington DC,11
2020-02-14,Washington DC,83
2020-02-15,Washington DC,65
2020-02-16,Washington DC,66
2020-02-17,Washington DC,19
2020-02-18,Washington DC,53
2020-02-19,Washington DC,23
2020-02-20,Washington DC,67
2020-02-21,Washington DC,46
2020-02-22,Washington DC,22
2020-02-23,Washington DC,27
2020-02-24,Washington DC,98
2020-02-25,Washington DC,57
2020-02-26,Washington DC,76
2020-02-27,Washington DC,60
2020-02-28,Washington DC,29
2020-02-29,Washington DC,17
2020-03-01,Washington DC,39
2020-03-02,Washington DC,10
2020-03-03,Washington DC,94
2020-03-04,Washington DC,97
2020-03-05,Washington DC,95
2020-03-06,Washington DC,88
2020-03-07,Washington DC,94
2020-03-08,Washington DC,66
2020-03-09,Washington DC,41
2020-03-10,Washington DC,71
2020-03-11,Washington DC,80
2020-03-12,Washington DC,75
2020-03-13,Washington DC,49
2020-03-14,Washington DC,78
2020-03-15,Washington DC,30
2020-03-16,Washington DC,34
2020-03-17,Washington DC,36
2020-03-18,Washington DC,8
2020-03-19,Washington DC,90
2020-03-20,Washington DC,35
2020-03-21,Washington DC,26
2020-03-22,Washington DC,96
2020-03-23,Washington DC,96
2020-03-24,Washington DC,52
2020-03-25,Washington DC,1
2020-03-26,Washington DC,28
2020-03-27,Washington DC,74
2020-03-28,Washington DC,45
2020-03-29,Washington DC,11
2020-03-30,Washington DC,42
2020-03-31,Washington DC,50
2020-04-01,Washington DC,54
2020-04-02,Washington DC,67
2020-04-03,Washington DC,60
2020-04-04,Washington DC,68
2020-04-05,Washington DC,71
2020-04-06,Washington DC,89
2020-04-07,Washington DC,51
2020-04-08,Washington DC,9
2020-04-09,Washington DC,20
2020-04-10,Washington DC,42
2020-04-11,Washington DC,31
2020-04-12,Washington DC,51
2020-04-13,Washington DC,21
2020-04-14,Washington DC,2
2020-04-15,Washington DC,62
2020-04-16,Washington DC,20
2020-04-17,Washington DC,6
2020-04-18,Washington DC,15
2020-04-19,Washington DC,37
2020-04-20,Washington DC,74
2020-04-21,Washington DC,44
2020-04-22,Washington DC,70
2020-04-23,Washington DC,72
2020-04-24,Washington DC,82
2020-04-25,Washington DC,33
2020-04-26,Washington DC,100
2020-04-27,Washington DC,31
2020-04-28,Washington DC,52
2020-04-29,Washington DC,56
2020-04-30,Washington DC,87
2020-05-01,Washington DC,47
2020-05-02,Washington DC,53
2020-05-03,Washington DC,36
2020-05-04,Washington DC,45
2020-05-05,Washington DC,55
2020-05-06,Washington DC,16
2020-05-07,Washington DC,62
2020-05-08,Washington DC,42
2020-05-09,Washington DC,84
2020-05-10,Washington DC,30
2020-05-11,Washington DC,96
2020-05-12,Washington DC,78
2020-05-13,Washington DC,92
