,Region Indicator
0,South Asia
1,Central and Eastern Europe
2,Middle East and North Africa
3,Sub-Saharan Africa
4,Latin America and Caribbean
5,Commonwealth of Independent States
6,North America and ANZ
7,Western Europe
8,Commonwealth of Independent States
9,Middle East and North Africa
10,South Asia
11,Commonwealth of Independent States
12,Western Europe
13,Latin America and Caribbean
14,Sub-Saharan Africa
15,South Asia
16,Latin America and Caribbean
17,Central and Eastern Europe
18,Sub-Saharan Africa
19,Latin America and Caribbean
20,Central and Eastern Europe
21,Sub-Saharan Africa
22,Sub-Saharan Africa
23,Southeast Asia
24,Sub-Saharan Africa
25,North America and ANZ
26,Sub-Saharan Africa
27,Sub-Saharan Africa
28,Latin America and Caribbean
29,East Asia
30,Latin America and Caribbean
31,Sub-Saharan Africa
32,Sub-Saharan Africa
33,Latin America and Caribbean
34,Central and Eastern Europe
35,Western Europe
36,Central and Eastern Europe
37,Western Europe
38,Latin America and Caribbean
39,Latin America and Caribbean
40,Middle East and North Africa
41,Latin America and Caribbean
42,Central and Eastern Europe
43,Sub-Saharan Africa
44,Western Europe
45,Western Europe
46,Sub-Saharan Africa
47,Commonwealth of Independent States
48,Western Europe
49,Sub-Saharan Africa
50,Western Europe
51,Latin America and Caribbean
52,Sub-Saharan Africa
53,Latin America and Caribbean
54,Latin America and Caribbean
55,East Asia
56,Central and Eastern Europe
57,Western Europe
58,South Asia
59,Southeast Asia
60,Middle East and North Africa
61,Middle East and North Africa
62,Western Europe
63,Middle East and North Africa
64,Western Europe
65,Sub-Saharan Africa
66,Latin America and Caribbean
67,East Asia
68,Middle East and North Africa
69,Commonwealth of Independent States
70,Sub-Saharan Africa
71,Central and Eastern Europe
72,Middle East and North Africa
73,Commonwealth of Independent States
74,Southeast Asia
75,Central and Eastern Europe
76,Middle East and North Africa
77,Sub-Saharan Africa
78,Sub-Saharan Africa
79,Middle East and North Africa
80,Central and Eastern Europe
81,Western Europe
82,Central and Eastern Europe
83,Sub-Saharan Africa
84,Sub-Saharan Africa
85,Southeast Asia
86,Sub-Saharan Africa
87,Western Europe
88,Sub-Saharan Africa
89,Sub-Saharan Africa
90,Latin America and Caribbean
91,Commonwealth of Independent States
92,East Asia
93,Central and Eastern Europe
94,Middle East and North Africa
95,Sub-Saharan Africa
96,Southeast Asia
97,Sub-Saharan Africa
98,South Asia
99,Western Europe
100,North America and ANZ
101,Latin America and Caribbean
102,Sub-Saharan Africa
103,Sub-Saharan Africa
104,Western Europe
105,Western Europe
106,South Asia
107,Middle East and North Africa
108,Latin America and Caribbean
109,Latin America and Caribbean
110,Latin America and Caribbean
111,Southeast Asia
112,Central and Eastern Europe
113,Western Europe
114,Middle East and North Africa
115,Central and Eastern Europe
116,Commonwealth of Independent States
117,Sub-Saharan Africa
118,Middle East and North Africa
119,Sub-Saharan Africa
120,Central and Eastern Europe
121,Sub-Saharan Africa
122,Southeast Asia
123,Central and Eastern Europe
124,Central and Eastern Europe
125,Sub-Saharan Africa
126,Sub-Saharan Africa
127,East Asia
128,Sub-Saharan Africa
129,Western Europe
130,South Asia
131,Sub-Saharan Africa
132,Western Europe
133,Western Europe
134,Middle East and North Africa
135,East Asia
136,Commonwealth of Independent States
137,Sub-Saharan Africa
138,Southeast Asia
139,Sub-Saharan Africa
140,Latin America and Caribbean
141,Middle East and North Africa
142,Middle East and North Africa
143,Commonwealth of Independent States
144,Sub-Saharan Africa
145,Commonwealth of Independent States
146,Middle East and North Africa
147,Western Europe
148,North America and ANZ
149,Latin America and Caribbean
150,Commonwealth of Independent States
151,Latin America and Caribbean
152,Southeast Asia
153,Middle East and North Africa
154,Sub-Saharan Africa
155,Sub-Saharan Africa
